species filename url
Escherichia_coli SRR12858244_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/044/SRR12858244/SRR12858244_1.fastq.gz
Escherichia_coli SRR12858244_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/044/SRR12858244/SRR12858244_2.fastq.gz
Klebsiella_penumoniae SRR12095308_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/008/SRR12095308/SRR12095308_1.fastq.gz
Klebsiella_penumoniae SRR12095308_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/008/SRR12095308/SRR12095308_2.fastq.gz
Bacteroides_fragilis SRR1656357_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/007/SRR1656357/SRR1656357_1.fastq.gz
Bacteroides_fragilis SRR1656357_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/007/SRR1656357/SRR1656357_2.fastq.gz
Acinetobacter_pittii SRR1655754_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/004/SRR1655754/SRR1655754_1.fastq.gz
Acinetobacter_pittii SRR1655754_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/004/SRR1655754/SRR1655754_2.fastq.gz
Xylella_fastidiosa SRR12401948_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/048/SRR12401948/SRR12401948_1.fastq.gz
Xylella_fastidiosa SRR12401948_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR124/048/SRR12401948/SRR12401948_2.fastq.gz
Bacillus_sp SRR7649255_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/005/SRR7649255/SRR7649255_1.fastq.gz
Bacillus_sp SRR7649255_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/005/SRR7649255/SRR7649255_2.fastq.gz
Clostridium_sporogenes SRR1656094_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/004/SRR1656094/SRR1656094_1.fastq.gz
Clostridium_sporogenes SRR1656094_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/004/SRR1656094/SRR1656094_2.fastq.gz
Enterobacter_cloacae SRR1612632_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/002/SRR1612632/SRR1612632_1.fastq.gz
Enterobacter_cloacae SRR1612632_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR161/002/SRR1612632/SRR1612632_2.fastq.gz
Enterococcus_faecalis SRR17166930_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/030/SRR17166930/SRR17166930_1.fastq.gz
Enterococcus_faecalis SRR17166930_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/030/SRR17166930/SRR17166930_2.fastq.gz
Staphylococcus_aureus SRR11948590_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/090/SRR11948590/SRR11948590_1.fastq.gz
Staphylococcus_aureus SRR11948590_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/090/SRR11948590/SRR11948590_2.fastq.gz
Aeromonas_sp SRR12183943_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/043/SRR12183943/SRR12183943_1.fastq.gz
Aeromonas_sp SRR12183943_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/043/SRR12183943/SRR12183943_2.fastq.gz
Alcaligenes_sp SRR14728047_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/047/SRR14728047/SRR14728047_1.fastq.gz
Alcaligenes_sp SRR14728047_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/047/SRR14728047/SRR14728047_2.fastq.gz
Achromobacter_xylosoxidans SRR1656049_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/009/SRR1656049/SRR1656049_1.fastq.gz
Achromobacter_xylosoxidans SRR1656049_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/009/SRR1656049/SRR1656049_2.fastq.gz
Bacteroides_sp SRR8986834_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR898/004/SRR8986834/SRR8986834_1.fastq.gz
Bacteroides_sp SRR8986834_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR898/004/SRR8986834/SRR8986834_2.fastq.gz
Bifidobacterium_scardovii SRR1656434_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/004/SRR1656434/SRR1656434_1.fastq.gz
Bifidobacterium_scardovii SRR1656434_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/004/SRR1656434/SRR1656434_2.fastq.gz
Campylobacter_jejuni SRR13001669_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/069/SRR13001669/SRR13001669_1.fastq.gz
Campylobacter_jejuni SRR13001669_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/069/SRR13001669/SRR13001669_2.fastq.gz
Campylobacter_coli SRR13001651_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/051/SRR13001651/SRR13001651_1.fastq.gz
Campylobacter_coli SRR13001651_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR130/051/SRR13001651/SRR13001651_2.fastq.gz
Clostridium_sp SRR9720109_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR972/009/SRR9720109/SRR9720109_1.fastq.gz
Clostridium_sp SRR9720109_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR972/009/SRR9720109/SRR9720109_2.fastq.gz
Clostridioides_difficile SRR10175728_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/028/SRR10175728/SRR10175728_1.fastq.gz
Clostridioides_difficile SRR10175728_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/028/SRR10175728/SRR10175728_2.fastq.gz
Paeniclostridium_sordellii SRR11109149_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/049/SRR11109149/SRR11109149_1.fastq.gz
Paeniclostridium_sordellii SRR11109149_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR111/049/SRR11109149/SRR11109149_2.fastq.gz
Enterococcus_sp SRR1655328_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/008/SRR1655328/SRR1655328_1.fastq.gz
Enterococcus_sp SRR1655328_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/008/SRR1655328/SRR1655328_2.fastq.gz
Enterococcus_faecium SRR12245564_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/064/SRR12245564/SRR12245564_1.fastq.gz
Enterococcus_faecium SRR12245564_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/064/SRR12245564/SRR12245564_2.fastq.gz
Fusobacterium_sp SRR8782623_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR878/003/SRR8782623/SRR8782623_1.fastq.gz
Fusobacterium_sp SRR8782623_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR878/003/SRR8782623/SRR8782623_2.fastq.gz
Lactobacillus_sp SRR9720093_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR972/003/SRR9720093/SRR9720093_1.fastq.gz
Lactobacillus_sp SRR9720093_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR972/003/SRR9720093/SRR9720093_2.fastq.gz
Methanobrevibacter_smithii SRR5929663_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR592/003/SRR5929663/SRR5929663_1.fastq.gz
Methanobrevibacter_smithii SRR5929663_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR592/003/SRR5929663/SRR5929663_2.fastq.gz
Peptostreptococcus_sp SRR1518482_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1518482/SRR1518482_1.fastq.gz
Peptostreptococcus_sp SRR1518482_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1518482/SRR1518482_2.fastq.gz
Plesiomonas_shigelloides SRR16203701_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/001/SRR16203701/SRR16203701_1.fastq.gz
Plesiomonas_shigelloides SRR16203701_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/001/SRR16203701/SRR16203701_2.fastq.gz
Pseudomonas_aeruginosa SRR6048079_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR604/009/SRR6048079/SRR6048079_1.fastq.gz
Pseudomonas_aeruginosa SRR6048079_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR604/009/SRR6048079/SRR6048079_2.fastq.gz
Coprococcus_comes SRR11354481_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/081/SRR11354481/SRR11354481_1.fastq.gz
Coprococcus_comes SRR11354481_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/081/SRR11354481/SRR11354481_2.fastq.gz
Streptococcus_constellatus SRR1656226_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/006/SRR1656226/SRR1656226_1.fastq.gz
Streptococcus_constellatus SRR1656226_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/006/SRR1656226/SRR1656226_2.fastq.gz
Veillonella_sp SRR9720092_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR972/002/SRR9720092/SRR9720092_1.fastq.gz
Veillonella_sp SRR9720092_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR972/002/SRR9720092/SRR9720092_2.fastq.gz
Staphylococcus_epidermidis SRR15603677_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/077/SRR15603677/SRR15603677_1.fastq.gz
Staphylococcus_epidermidis SRR15603677_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/077/SRR15603677/SRR15603677_2.fastq.gz
Vibrio_sp SRR1944096_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1944096/SRR1944096_1.fastq.gz
Vibrio_sp SRR1944096_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/006/SRR1944096/SRR1944096_2.fastq.gz
Yersinia_enterocolitica SRR11901879_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/079/SRR11901879/SRR11901879_1.fastq.gz
Yersinia_enterocolitica SRR11901879_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR119/079/SRR11901879/SRR11901879_2.fastq.gz
Bacteroides_faecichinchillae SRR9049225_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR904/005/SRR9049225/SRR9049225_1.fastq.gz
Bacteroides_faecichinchillae SRR9049225_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR904/005/SRR9049225/SRR9049225_2.fastq.gz
Phocaeicola_dorei SRR9050613_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR905/003/SRR9050613/SRR9050613_1.fastq.gz
Phocaeicola_dorei SRR9050613_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR905/003/SRR9050613/SRR9050613_2.fastq.gz
Bacteroides_acidifaciens SRR8986835_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR898/005/SRR8986835/SRR8986835_1.fastq.gz
Bacteroides_acidifaciens SRR8986835_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR898/005/SRR8986835/SRR8986835_2.fastq.gz
Phocaeicola_sartorii SRR8986821_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR898/001/SRR8986821/SRR8986821_1.fastq.gz
Phocaeicola_sartorii SRR8986821_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR898/001/SRR8986821/SRR8986821_2.fastq.gz
Acinetobacter_sp SRR1655665_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/005/SRR1655665/SRR1655665_1.fastq.gz
Acinetobacter_sp SRR1655665_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR165/005/SRR1655665/SRR1655665_2.fastq.gz
Candida_albicans SRR8324562_1.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR832/002/SRR8324562/SRR8324562_1.fastq.gz
Candida_albicans SRR8324562_2.fastq.gz ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR832/002/SRR8324562/SRR8324562_2.fastq.gz
