intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
3471000,0.012394171061699476,0.7669023420238621,0.012394171061699476,0.03244330285022612,11.768366464995678,10.0,10.424520749390231,gtdb/gtdb_202_reps.stb,"GCF_002222615.2 Bacteroides caccae strain=ATCC 43185, ASM222261v2",47030cb09435e5a03e1ce6a49f0753a5,0.7669023420238621,3471000,0,145676000,../cpe/MBH046/merge_MBH046_R1.fastq.gz,,afdcd3f3,280051000,31,DNA,1000,280051,True,0.8679423639532396,0.9914753871610663,0.929708875557153,0.9914753871610663,False,40848,40848,1259058
3224000,0.011512188851316368,0.6564854408470779,0.011512188851316368,0.014329760821185363,5.596153846153846,5.0,3.7067686858604056,gtdb/gtdb_202_reps.stb,"GCF_003697165.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 strain=ATCC 11775, ASM369716v2",60bfe150353edefcbd7db7314951359d,0.6564854408470779,3224000,1,142452000,../cpe/MBH046/merge_MBH046_R1.fastq.gz,,afdcd3f3,280051000,31,DNA,1000,280051,True,0.8658780025531412,0.9865157776563442,0.9261968901047427,0.9865157776563442,False,18042,58890,1259058
3178000,0.011347933055050687,0.6332,0.011305083716894423,0.008850267422152117,3.5195830701200252,2.0,19.101883680795975,gtdb/gtdb_202_reps.stb,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",960cc77fc7b96d595712107aaa1524b5,0.6356,3166000,2,139286000,../cpe/MBH046/merge_MBH046_R1.fastq.gz,,afdcd3f3,280051000,31,DNA,1000,280051,True,0.8654766980946854,0.9854874390798648,0.9254820685872751,0.9854874390798648,False,11143,70033,1259058
3132000,0.011183677258785007,0.4690388170055453,0.01087301955715209,0.00547711066527515,2.264696223316913,2.0,1.690566392395091,gtdb/gtdb_202_reps.stb,"GCF_001314995.1 Bacteroides ovatus strain=ATCC 8483, ASM131499v1",514bdd6aa640f40cc6414be0e11ec2f6,0.4824399260628466,3045000,3,136241000,../cpe/MBH046/merge_MBH046_R1.fastq.gz,,afdcd3f3,280051000,31,DNA,1000,280051,True,0.8650697324765116,0.9767614067715155,0.9209155696240136,0.9767614067715155,False,6896,76929,1259058
2958000,0.010562361855519174,0.7159806295399516,0.010558791077339485,0.02181392755536282,9.28812986134596,6.0,20.372590561372157,gtdb/gtdb_202_reps.stb,"GCF_013302415.1 Blautia faecis strain=MSK.11.45, ASM1330241v1",886b1571edc8705384ba2ed0f18da1ca,0.7162227602905569,2957000,4,133284000,../cpe/MBH046/merge_MBH046_R1.fastq.gz,,afdcd3f3,280051000,31,DNA,1000,280051,True,0.8634761693473679,0.9892911701717392,0.9263836697595536,0.9892911701717392,False,27465,104394,1259058
2843000,0.010151722364854973,0.6099891422366992,0.010030315906745557,0.010267994008218843,4.602349590601637,4.0,5.570124003491867,gtdb/gtdb_202_reps.stb,"GCF_000154205.1 Bacteroides uniformis ATCC 8492 strain=ATCC 8492, ASM15420v1",2e2ee99950af50be6093dcb7d1a24282,0.617372421281216,2809000,5,130475000,../cpe/MBH046/merge_MBH046_R1.fastq.gz,,afdcd3f3,280051000,31,DNA,1000,280051,True,0.8623723632179221,0.9845628820533915,0.9234676226356568,0.9845628820533915,False,12928,117322,1259058
2785000,0.009944617230433028,0.6116659101225601,0.009623247194261044,0.023715349094322897,11.079406307977736,9.0,14.143145832683807,gtdb/gtdb_202_reps.stb,"GCF_000484655.1 Blautia wexlerae DSM 19850 strain=DSM 19850, ASM48465v1",2005a0e89db6e8104554831b1afa0a5b,0.6320926009986382,2695000,6,127780000,../cpe/MBH046/merge_MBH046_R1.fastq.gz,,afdcd3f3,280051000,31,DNA,1000,280051,True,0.861799160767093,0.9853115442957957,0.9235553525314444,0.9853115442957957,False,29859,147181,1259058
2693000,0.009616105637901667,0.6743486973947895,0.00961253485972198,0.012936655817285621,6.050520059435364,6.0,3.1852843097121895,gtdb/gtdb_202_reps.stb,"GCF_014287365.1 Eggerthella sp. NSJ-70 strain=NSJ-70, ASM1428736v1",bc358cc8ed80293882ed0c5ea1f755ab,0.6745991983967936,2692000,7,125088000,../cpe/MBH046/merge_MBH046_R1.fastq.gz,,afdcd3f3,280051000,31,DNA,1000,280051,True,0.860865808209678,0.9873823258019834,0.9241240670058306,0.9873823258019834,False,16288,163469,1259058
2545000,0.00908763046730774,0.9432703003337041,0.009084059689128052,0.02030168586355831,10.04756289308176,9.0,8.960413570595241,gtdb/gtdb_202_reps.stb,"GCF_014269395.1 Megasphaera hominis strain=NSJ-59, ASM1426939v1",bc649c78ebb00abb76c60bb33ffa3bad,0.9436410826844642,2544000,8,122544000,../cpe/MBH046/merge_MBH046_R1.fastq.gz,,afdcd3f3,280051000,31,DNA,1000,280051,True,0.8592975422700736,0.9981304789563877,0.9287140106132307,0.9981304789563877,False,25561,189030,1259058
2462000,0.008791255878393578,0.6508247134470226,0.008312771602315293,0.010723096156015053,5.7993986254295535,4.0,9.104946522892948,gtdb/gtdb_202_reps.stb,"GCF_000153905.1 Blautia obeum ATCC 29174 strain=ATCC 29174, ASM15390v1",5375a181d0fc4f87e94bdda701d7df77,0.6882862734134749,2328000,9,120216000,../cpe/MBH046/merge_MBH046_R1.fastq.gz,,afdcd3f3,280051000,31,DNA,1000,280051,True,0.8583789560546459,0.9880222967263859,0.9232006263905159,0.9880222967263859,False,13501,202531,1259058
