	Genome	Original_name	Study_set	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	CMseq	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	MGnify_accession	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
0	GUT_GENOME000001	11861_6_55	HBC	Isolate	3219614	137	47258	28.26	98.59	0.7		88.24	99.74	99.83	20		GUT_GENOME000001	MGYG-HGUT-00001	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__GCA-900066495;s__	ERS370061	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00001/genomes1/GUT_GENOME000001.gff.gz
3	GUT_GENOME000004	11861_6_58	HBC	Isolate	4433090	100	109266	42.6	99.37	0.0		82.35	95.37	86.19	19		GUT_GENOME000004	MGYG-HGUT-00002	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066165	ERS370064	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00002/genomes1/GUT_GENOME000004.gff.gz
7	GUT_GENOME000008	11861_6_63	HBC	Isolate	3229507	35	158570	58.52	100.0	0.0		94.96	99.67	99.66	20		GUT_GENOME000008	MGYG-HGUT-00003	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	ERS370070	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00003/genomes1/GUT_GENOME000008.gff.gz
9	GUT_GENOME000010	11861_6_65	HBC	Isolate	3698872	105	90296	54.19	98.66	0.22		93.28	99.67	99.83	20		GUT_GENOME000010	MGYG-HGUT-00004	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis	ERS370072	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00004/genomes1/GUT_GENOME000010.gff.gz
15	GUT_GENOME000017	12718_7_10	HBC	Isolate	3930422	32	350032	28.59	99.3	0.0		89.08	99.67	99.83	20		GUT_GENOME000017	MGYG-HGUT-00005	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Terrisporobacter;s__Terrisporobacter glycolicus_A	ERS417217	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00005/genomes1/GUT_GENOME000017.gff.gz
18	GUT_GENOME000020	12718_7_13	HBC	Isolate	2822523	36	121380	32.65	99.26	1.39		94.96	99.74	99.76	20		GUT_GENOME000020	MGYG-HGUT-00006	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus	ERS417220	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00006/genomes1/GUT_GENOME000020.gff.gz
19	GUT_GENOME000021	12718_7_14	HBC	Isolate	2016163	24	124464	35.52	98.94	0.0		94.12	99.67	99.83	20		GUT_GENOME000021	MGYG-HGUT-00007	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus intestinalis	ERS417221	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00007/genomes1/GUT_GENOME000021.gff.gz
20	GUT_GENOME000022	12718_7_15	HBC	Isolate	1971706	40	87745	34.34	99.22	0.78		94.96	99.67	99.76	20		GUT_GENOME000022	MGYG-HGUT-00008	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus johnsonii	ERS417222	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00008/genomes1/GUT_GENOME000022.gff.gz
22	GUT_GENOME000024	12718_7_17	HBC	Isolate	2219785	153	31439	39.8	99.21	0.0		94.12	80.82	98.29	20		GUT_GENOME000024	MGYG-HGUT-00009	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_B;s__Lactobacillus_B murinus	ERS417224	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00009/genomes1/GUT_GENOME000024.gff.gz
26	GUT_GENOME000029	12718_7_21	HBC	Isolate	2726398	58	74967	31.83	99.45	1.66		95.8	99.74	99.76	20		GUT_GENOME000029	MGYG-HGUT-00010	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus_A;s__Staphylococcus_A lentus	ERS417228	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00010/genomes1/GUT_GENOME000029.gff.gz
