intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
2522000,0.034673815907059875,0.43883765442839745,0.034673815907059875,0.03145309436700165,1.6157811260904045,1.0,2.6927437895666277,gtdb/gtdb_sketch,>NZ_CP029454.1 Bacillus cereus strain FORC087 chromosome complete genome,6090d662ad15cfbcee6e0807956226d0,0.43883765442839745,2522000,0,46419000,isolates/isolate_jumbo_1.fastq.gz,,c3fda5bc,72735000,31,DNA,1000,72735,True,0.8972289512222257,0.9737812671034105,0.9355051091628181,0.9737812671034105,False,4075,4075,129558
2506000,0.03445383927957654,0.39383938393839385,0.03445383927957654,0.02837339261180321,1.4668794892258579,1.0,1.0337001077930945,gtdb/gtdb_sketch,>NZ_LN831024.1 Pseudomonas aeruginosa strain NCTC10332 chromosome 1 complete sequence,bb217474c348bbe1c7ce2dad76cea683,0.39383938393839385,2506000,1,43913000,isolates/isolate_jumbo_1.fastq.gz,,c3fda5bc,72735000,31,DNA,1000,72735,True,0.8970447666796056,0.9703888077258911,0.9337167872027483,0.9703888077258911,False,3676,7751,129558
2451000,0.0336976696226026,0.5227127319257837,0.0336976696226026,0.03142993871470693,1.6613627090983272,1.0,1.3831372177989252,gtdb/gtdb_sketch,>NZ_LR134116.1 Yersinia intermedia strain NCTC11469 chromosome 1 complete sequence,9192f452df25c8b4b7a7ec1f383d70d3,0.5227127319257837,2451000,2,41462000,isolates/isolate_jumbo_1.fastq.gz,,c3fda5bc,72735000,31,DNA,1000,72735,True,0.8964028353476664,0.979290884981975,0.9378468601648207,0.979290884981975,False,4072,11823,129558
2102000,0.028899429435622466,0.40840140023337224,0.02887193235718705,0.02635885086216212,1.6261904761904762,1.0,0.9575662413514606,gtdb/gtdb_sketch,>NZ_UHIL01000004.1 Vibrio parahaemolyticus strain NCTC10903 whole genome shotgun sequence,c1935af5707109994288507e2a222c11,0.4087903539478802,2100000,3,39362000,isolates/isolate_jumbo_1.fastq.gz,,c3fda5bc,72735000,31,DNA,1000,72735,True,0.8919720926827664,0.9715558308484469,0.9317639617656066,0.9715558308484469,False,3415,15238,129558
1910000,0.026259709905822506,0.43867707854846116,0.026259709905822506,0.02159650504021365,1.4649214659685863,1.0,1.0312270275327744,gtdb/gtdb_sketch,>NZ_SRYZ01000100.1 Bacteroides sp. NM69_E16B NODE_100_length_1884_cov_779.943 whole genome shotgun sequence,aa21d6a4e240d950eb3b686e2a4fae57,0.43867707854846116,1910000,4,37452000,isolates/isolate_jumbo_1.fastq.gz,,c3fda5bc,72735000,31,DNA,1000,72735,True,0.8892202667192535,0.9737697709367131,0.9314950188279834,0.9737697709367131,False,2798,18036,129558
1822000,0.025049838454664193,0.3795054484492875,0.0248986045232694,0.01945846647833403,1.3920485919381558,1.0,0.6929659602355868,gtdb/gtdb_sketch,>NZ_BAKK01000144.1 Bacteroides faecichinchillae JCM 17102 whole genome shotgun sequence,0b5b571ab1d9dafb51e26d4394bcf614,0.3818105616093881,1811000,5,35641000,isolates/isolate_jumbo_1.fastq.gz,,c3fda5bc,72735000,31,DNA,1000,72735,True,0.8878682911616911,0.9694183223741013,0.9286433067678962,0.9694183223741013,False,2521,20557,129558
1804000,0.024802364748745444,0.9376299376299376,0.024802364748745444,0.040939193257074055,2.940133037694013,3.0,1.6085164089101935,gtdb/gtdb_sketch,>NZ_NQLD01000012.1 Methanobrevibacter smithii strain WWM1085 Contig_1 whole genome shotgun sequence,19f9d1392df7c6e512b78c2afcf40ed0,0.9376299376299376,1804000,6,33837000,isolates/isolate_jumbo_1.fastq.gz,,c3fda5bc,72735000,31,DNA,1000,72735,True,0.8875839789087484,0.9979247392212464,0.9427543590649974,0.9979247392212464,False,5304,25861,129558
1742000,0.023949955317247543,0.6930732484076433,0.023936206778029833,0.029639234937248182,2.205628948879954,2.0,1.5807545941431387,gtdb/gtdb_sketch,>NZ_BCQD01000001.1 Enterococcus faecium NBRC 100486 whole genome shotgun sequence,aab516a5d323d56ae5c598ec613300ca,0.6934713375796179,1741000,7,32096000,isolates/isolate_jumbo_1.fastq.gz,,c3fda5bc,72735000,31,DNA,1000,72735,True,0.8865832187087489,0.9882615246813332,0.9374223716950411,0.9882615246813332,False,3840,29701,129558
1677000,0.023056300268096516,0.410828025477707,0.023056300268096516,0.025201068247425865,1.9469290399522958,1.0,3.230581793830387,gtdb/gtdb_sketch,>NZ_CP011663.1 Clostridium sporogenes strain DSM 795 chromosome complete genome,27f0c6b3a2de737a1d33a864f972b360,0.410828025477707,1677000,8,30419000,isolates/isolate_jumbo_1.fastq.gz,,c3fda5bc,72735000,31,DNA,1000,72735,True,0.8854963225590528,0.9717116763525108,0.9286039994557818,0.9717116763525108,False,3265,32966,129558
1557000,0.02140647556197154,0.36706770464732247,0.021392727022753834,0.020701153151484276,1.7236503856041132,1.0,0.9428289985163248,gtdb/gtdb_sketch,>NZ_CP031747.1 Alcaligenes faecalis strain AU14 chromosome,95003a21cb4db984c9b719e9c6e42e8c,0.3673036093418259,1556000,9,28863000,isolates/isolate_jumbo_1.fastq.gz,,c3fda5bc,72735000,31,DNA,1000,72735,True,0.8833780796424278,0.9682077501988678,0.9257929149206479,0.9682077501988678,False,2682,35648,129558
